Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Coordinate.Uncertainty.M,Coordinate.Precision.M,Genus,Species,Mass.g
KU,88764,Male,Unknown,1997,3,15,-58.85,4.3333333,,,Celeus,undatus,69
KU,88951,Male,Unknown,1997,9,24,-60.4833333,7.3666667,,,Campephilus,rubricollis,229
KU,89313,Male,Unknown,1998,3,9,-90.2,18.2333333,,,Melanerpes,pygmaeus,37
KU,89328,Male,Unknown,1998,3,9,-90.2,18.2333333,,,Campephilus,guatemalensis,218
KU,89716,Male,Unknown,1998,9,4,-58.9333333,1.3833333,,,Celeus,undatus,75
KU,89718,Male,Unknown,1998,9,7,-58.9333333,1.3833333,,,Veniliornis,cassini,35
KU,90209,Male,Unknown,1999,10,3,-58.1466667,-20.0983333,,,Picoides,mixtus,30
KU,90737,Male,Unknown,2000,3,19,-59.45,2.3666667,,,Picumnus,cirratus,13
KU,90832,Male,Unknown,2000,3,11,-58.2,6.0166667,,,Celeus,torquatus,124
KU,90880,Male,Unknown,2000,4,16,-59.2666667,2.8666667,,,Picumnus,cirratus,11
KU,91091,Male,Unknown,2000,3,31,-59.3666667,2.2,,,Celeus,torquatus,112.5
KU,91779,Male,Unknown,1999,9,29,-58.1333333,-20.1,,,Piculus,chrysochloros,56
KU,91835,Male,Unknown,2001,6,9,-93.8066667,40.3133333,,,Melanerpes,erythrocephalus,76
KU,92385,Male,Unknown,2001,3,25,-60.75,5.2833333,,,Colaptes,rubiginosus,61.5
KU,92594,Male,Unknown,2002,8,28,111.035,26.409,,,Picumnus,innominatus,10.5
KU,92595,Male,Unknown,2002,8,27,111.035,26.409,,,Picumnus,innominatus,11.7
KU,92975,Male,Unknown,1996,12,7,-57.35,-22.6666667,,,Veniliornis,passerinus,35
KU,92976,Male,Unknown,2002,3,19,-59.7333333,8.25,,,Celeus,undatus,64
KU,92977,Male,Unknown,2002,3,24,-59.7333333,8.25,,,Celeus,undatus,59.5
KU,93437,Male,Unknown,2001,4,8,-60.7333333,5.2666667,,,Veniliornis,kirkii,39
KU,94682,Male,Unknown,2002,11,19,-69.5,19,,,Melanerpes,striatus,67
KU,94683,Male,Unknown,2002,11,21,-69.5,19,,,Melanerpes,striatus,68
KU,94764,Male,Unknown,2002,11,12,-71.5333333,18.2,,,Melanerpes,striatus,94
KU,94819,Male,Unknown,2002,3,17,-59.7333333,8.25,,,Celeus,flavus,114
KU,94903,Male,Unknown,2002,3,29,-57.7333333,6.5166667,,,Picumnus,spilogaster,13.8
KU,94919,Male,Unknown,2002,3,10,-59.75,8.4,,,Picumnus,exilis,10.1
KU,94921,Male,Unknown,2002,3,12,-59.75,8.4,,,Picumnus,exilis,9.7
KU,94968,Male,Unknown,2002,3,11,-59.4,8.4,,,Picumnus,exilis,10.3
KU,95971,Male,Unknown,2002,6,4,10.29,1.6616667,,,Sasia,africana,7.5
KU,96276,Male,Unknown,2005,5,5,107.88,21.84,,,Sasia,ochracea,8.7
KU,97412,Male,Unknown,2006,4,30,107.575,29.1668333,,,Picumnus,innominatus,10.5
KU,98385,Male,Unknown,2006,11,1,-71.5633333,-41.79,,,Colaptes,pitius,136
KU,99544,Male,Unknown,2006,10,6,-88.2347,13.16421,,,Melanerpes,aurifrons,85
KU,109527,Male,Unknown,2004,2,28,-88.9147,14.13275,,,Colaptes,rubiginosus,72
