Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Genus,Species,Mass.g,bcpic,bio10,bio11,bio12,bio16,bio17,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5
MVZ,83428,Female,Adult,1941,6,5,-122.0024912,44.502946,Picoides,villosus,68.1,5,136,-10,1939,931,130,-1.90704425690346,-2.02983221925855,-1.31798228925302,-0.769474597022474,0.120449730822476
MVZ,84402,Female,Adult,1942,1,2,-124.1530252,41.104244,Picoides,villosus,65.7,5,144,76,1475,720,48,-1.18688656395751,-0.650939717219939,-1.7859541562997,0.029112975623525,-0.0893990277275842
MVZ,84404,Female,Adult,1942,1,15,-123.47623,40.4313,Picoides,villosus,72.2,5,168,35,1407,722,37,-1.00769781037605,-0.40609236901725,-1.48325690473266,-0.568390674873599,0.0012917886188534
MVZ,84405,Female,Adult,1942,1,17,-123.46153,40.45082,Picoides,villosus,56.3,5,168,35,1407,722,37,-1.00769781037605,-0.40609236901725,-1.48325690473266,-0.568390674873599,0.0012917886188534
MVZ,95557,Female,Adult,1946,6,6,-123.49373,40.61736,Picoides,villosus,57,5,190,48,1264,653,33,-0.916429867400831,0.148702446361122,-1.18837946969296,-0.539529078542551,0.0124628516424667
MVZ,97684,Female,Adult,1947,10,8,-124.3943,42.4297,Picoides,villosus,60.4,5,153,83,1992,952,82,-2.40222893636626,-1.06239722478358,-1.87997307503138,-0.414872822936501,-0.0746608077241358
MVZ,118507,Female,Adult,1949,8,27,-123.6339428,40.9809127,Picoides,villosus,69,5,190,61,1303,663,37,-1.06138753040224,0.17193981740943,-1.21824665060402,-0.446821217379694,-0.00594751251455947
MVZ,42094,Female,Adult,1921,6,12,-127.6667,55.25,Picoides,villosus,78.6,5,147,-68,568,186,80,1.41118751070068,-0.716109677459113,-0.00877451198615206,0.0800691465192369,-0.0692936842800018
MVZ,42099,Female,Adult,1921,6,4,-127.6667,55.25,Picoides,villosus,76.3,5,147,-68,568,186,80,1.41118751070068,-0.716109677459113,-0.00877451198615206,0.0800691465192369,-0.0692936842800018
MVZ,48444,Female,Adult,1926,5,12,-122.9986536,40.3904803,Picoides,villosus,67.5,5,178,29,1091,547,34,-0.358128166316037,0.0128572861240887,-1.04781476613542,-0.348153097536426,-0.0218232517976534
MVZ,56288,Female,Adult,1930,7,1,-123.5574082,40.6096034,Picoides,villosus,61,5,136,16,1489,742,49,-0.878440185256844,-1.12616697478666,-1.7089666904053,-0.419074205520514,-0.030486154866184
MVZ,61873,Female,Adult,1932,4,6,-123.4644508,40.4048454,Picoides,villosus,58.7,5,168,35,1411,724,37,-1.01568666566836,-0.409476302947755,-1.48711528254935,-0.572912345691392,0.00105677436652776
MVZ,61875,Female,Adult,1932,4,27,-123.4644508,40.4048454,Picoides,villosus,65.8,5,168,35,1411,724,37,-1.01568666566836,-0.409476302947755,-1.48711528254935,-0.572912345691392,0.00105677436652776
